Date,Open,High,Low,Close,Adj Close,Volume
2014-03-19,31.00,31.00,23.99,24.04,24.04,9435400
2014-03-20,24.05,26.64,24.05,25.99,25.99,1018200
2014-03-21,26.00,26.50,25.25,26.01,26.01,613400
2014-03-24,26.00,26.00,23.09,24.35,24.35,473500
2014-03-25,24.63,24.93,23.53,23.81,23.81,390700
2014-03-26,23.75,24.00,22.11,22.91,22.91,582800
2014-03-27,22.95,23.15,22.15,22.76,22.76,161400
2014-03-28,22.67,23.00,22.26,22.90,22.90,135100
2014-03-31,22.99,24.50,22.53,24.05,24.05,136800
2014-04-01,24.08,24.96,23.96,24.82,24.82,176600
2014-04-02,25.02,25.07,23.91,24.01,24.01,139800
2014-04-03,23.89,24.10,21.62,22.43,22.43,206200
2014-04-04,22.40,23.40,20.03,20.64,20.64,576000
2014-04-07,20.44,20.78,19.76,19.98,19.98,179100
2014-04-08,20.00,20.16,18.61,19.25,19.25,406600
2014-04-09,19.35,19.54,18.92,19.50,19.50,229500
2014-04-10,19.44,19.53,18.84,19.12,19.12,165400
2014-04-11,19.00,19.14,18.28,18.80,18.80,158400
2014-04-14,18.80,20.46,18.65,19.81,19.81,236800
2014-04-15,19.99,20.00,19.26,19.80,19.80,229700
2014-04-16,20.07,20.10,19.26,19.53,19.53,109100
2014-04-17,20.19,20.51,18.52,19.45,19.45,297600
2014-04-21,19.34,19.60,19.00,19.37,19.37,57100
2014-04-22,19.33,19.58,19.21,19.50,19.50,348700
2014-04-23,19.62,21.97,19.31,21.04,21.04,177200
2014-04-24,20.95,21.94,20.22,20.92,20.92,119600
2014-04-25,20.61,20.75,20.02,20.39,20.39,391600
2014-04-28,20.32,20.81,19.01,19.65,19.65,403300
2014-04-29,19.73,21.77,19.50,19.81,19.81,301400
2014-04-30,19.64,19.98,18.61,18.91,18.91,282700
2014-05-01,19.03,19.54,18.65,18.78,18.78,150400
2014-05-02,18.70,19.13,18.10,18.46,18.46,193600
2014-05-05,18.82,19.16,18.08,18.93,18.93,156000
2014-05-06,18.75,18.75,17.64,17.93,17.93,190600
2014-05-07,17.86,17.94,15.79,15.92,15.92,167600
2014-05-08,16.01,16.49,15.24,15.50,15.50,202100
2014-05-09,16.50,16.93,15.50,15.66,15.66,1147700
2014-05-12,15.63,17.05,15.63,15.88,15.88,339000
2014-05-13,15.78,16.49,15.78,16.28,16.28,229800
2014-05-14,16.37,16.99,16.20,16.81,16.81,258200
2014-05-15,16.65,16.99,16.27,16.41,16.41,188500
2014-05-16,16.54,16.81,16.32,16.50,16.50,67700
2014-05-19,16.35,16.80,16.12,16.39,16.39,77100
2014-05-20,16.42,16.99,15.74,16.73,16.73,320000
2014-05-21,16.87,18.74,16.74,18.19,18.19,381500
2014-05-22,18.29,18.62,18.00,18.33,18.33,231800
2014-05-23,18.41,18.94,17.90,18.64,18.64,183700
2014-05-27,18.65,19.23,17.92,18.84,18.84,319300
2014-05-28,18.76,19.15,18.13,18.53,18.53,288300
2014-05-29,18.75,19.44,18.40,19.11,19.11,249700
2014-05-30,18.93,19.76,18.89,19.47,19.47,271600
2014-06-02,19.59,19.84,19.12,19.47,19.47,188100
2014-06-03,19.35,19.88,18.90,19.69,19.69,222900
2014-06-04,19.56,19.79,18.92,19.20,19.20,171000
2014-06-05,19.14,19.54,18.50,19.24,19.24,111300
2014-06-06,19.20,19.88,18.98,19.73,19.73,79400
2014-06-09,19.73,21.08,19.28,21.01,21.01,173700
2014-06-10,20.81,21.37,20.20,21.17,21.17,112200
2014-06-11,21.01,21.91,20.97,21.88,21.88,152800
2014-06-12,21.88,22.79,21.62,22.01,22.01,240200
2014-06-13,21.99,22.98,21.95,22.57,22.57,168700
2014-06-16,22.64,23.69,22.54,22.69,22.69,217200
2014-06-17,22.56,23.12,22.43,22.78,22.78,157700
2014-06-18,22.85,23.26,22.39,22.45,22.45,128700
2014-06-19,22.44,23.41,22.44,23.38,23.38,130300
2014-06-20,23.34,23.83,23.13,23.36,23.36,511300
2014-06-23,23.25,23.53,22.47,22.51,22.51,193300
2014-06-24,22.42,22.54,20.52,21.27,21.27,206100
2014-06-25,21.31,21.50,20.17,20.69,20.69,246600
2014-06-26,20.82,21.35,20.58,21.22,21.22,116600
2014-06-27,21.08,21.50,20.51,20.66,20.66,1171500
2014-06-30,20.69,21.75,20.69,21.63,21.63,197800
2014-07-01,21.64,21.78,21.19,21.69,21.69,107800
2014-07-02,21.73,21.81,20.58,21.41,21.41,190700
2014-07-03,21.43,21.68,21.22,21.65,21.65,44400
2014-07-07,21.64,21.79,20.90,21.50,21.50,97500
2014-07-08,21.42,21.70,20.55,20.71,20.71,143600
2014-07-09,20.72,20.93,20.27,20.93,20.93,64900
2014-07-10,20.47,21.20,20.08,20.96,20.96,103200
2014-07-11,20.94,21.20,20.75,20.99,20.99,108000
2014-07-14,21.05,21.37,20.77,21.34,21.34,130900
2014-07-15,21.03,21.41,20.43,20.74,20.74,173700
2014-07-16,20.87,21.85,20.73,21.55,21.55,145300
2014-07-17,21.44,21.74,20.72,20.84,20.84,149000
2014-07-18,20.81,21.07,20.62,20.91,20.91,87100
2014-07-21,20.80,20.99,20.56,20.82,20.82,61300
2014-07-22,20.89,21.13,20.47,20.69,20.69,104400
2014-07-23,20.81,21.05,20.61,20.94,20.94,80500
2014-07-24,21.00,21.32,20.40,20.66,20.66,75200
2014-07-25,20.54,20.84,20.01,20.08,20.08,67600
2014-07-28,20.02,20.69,20.02,20.22,20.22,79500
2014-07-29,20.76,20.76,19.90,20.10,20.10,130100
2014-07-30,20.20,20.40,19.87,20.19,20.19,118200
